namespace_of_classname,classname,namespace_of_property,property_name,column_name_of_property_value,property_value,emmisive_color,pbr_metallic_roughness_base_color,pbr_metallic_roughness_metallic_roughness,pbr_specular_glossiness_diffuse_color,pbr_specular_glossiness_specular_glossiness
,anything_else,,,,,,#ffff00fc,#000000,,
bldg,Building,,,,,,#00e5ee80,#000000,,
bldg,BuildingConstructiveElement,,,,,,#86909cff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Curtain Panels,,#2f4f4f40,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Curtain Wall Mullions,,#666666ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Entourage,,#ccccccff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Floors,,#deb887ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Roofs,,#ff0000ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Stairs: Landings,,#804141ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Stairs: Runs,,#add8e6ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Stairs: Supports,,#c4b08fff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Structural Columns,,#645462ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Structural Framing,,#616161ff,#000000,,
bldg,BuildingConstructiveElement,gen,Category,val_string,Walls,,#ccccccff,#000000,,
bldg,BuildingFurniture,,,,,,#e67322fc,#000000,,
bldg,BuildingInstallation,,,,,,#deb887fc,#000000,,
bldg,BuildingPart,,,,,,#00e5ee80,#000000,,
bldg,BuildingRoom,,,,,,#f33f6680,#000000,,
bldg,BuildingUnit,,,,,,#deb8b9fc,#000000,,
bldg,Storey,,,,,,#deb887fc,#000000,,
brid,Bridge,,,,,,#2f4f4f80,#000000,,
brid,BridgeConstructiveElement,,,,,,#626a80ff,#000000,,
brid,BridgeFurniture,,,,,,#ff4040fc,#000000,,
brid,BridgeInstallation,,,,,,#191970fc,#000000,,
brid,BridgePart,,,,,,#19450080,#000000,,
brid,BridgeRoom,,,,,,#add8e6fc,#000000,,
con,CeilingSurface,,,,,,#ccccccfc,#000000,,
con,Door,,,,,,#805c45ff,#000000,,
con,DoorSurface,,,,,,#0000fffc,#000000,,
con,FloorSurface,,,,,,#666666ff,#000000,,
con,GroundSurface,,,,,,#666666ff,#000000,,
con,InteriorWallSurface,,,,,,#666666fc,#000000,,
con,OtherConstruction,,,,,,#ff6a6afc,#000000,,
con,OuterCeilingSurface,,,,,,#ccccccfc,#000000,,
con,OuterFloorSurface,,,,,,#666666fc,#000000,,
con,RoofSurface,,,,,,#ff0000ff,#000000,,
con,WallSurface,,,,,,#666666ff,#000000,,
con,Window,,,,,,#00ffff40,#000000,,
con,WindowSurface,,,,,,#00ffff40,#000000,,
core,ClosureSurface,,,,,,#666666fc,#000000,,
dem,BreaklineRelief,,,,,,#616161fc,#000000,,
dem,MassPointRelief,,,,,,#616161fc,#000000,,
dem,RasterRelief,,,,,,#616161fc,#000000,,
dem,ReliefFeature,,,,,,#00b900fc,#000000,,
dem,TINRelief,,,,,,#00b900fc,#000000,,
frn,CityFurniture,,,,,,#ff4040ff,#000000,,
gen,GenericLogicalSpace,,,,,,#80414180,#000000,,
gen,GenericOccupiedSpace,,,,,,#25928180,#000000,,
gen,GenericThematicSurface,,,,,,#c4b08ffc,#000000,,
gen,GenericUnoccupiedSpace,,,,,,#0064ff80,#000000,,
luse,LandUse,,,,,,#43ee00fc,#000000,,
tran,AuxiliaryTrafficArea,,,,,,#a0a0a0ff,#000000,,
tran,AuxiliaryTrafficSpace,,,,,,#65946080,#000000,,
tran,ClearanceSpace,,,,,,#0064ff80,#000000,,
tran,Hole,,,,,,#7ed3ddfc,#000000,,
tran,HoleSurface,,,,,,#919191fc,#000000,,
tran,Intersection,,,,,,#645462fc,#000000,,
tran,Marking,,,,,,#ffffffff,#000000,,
tran,Railway,,,,,,#a0a0a0fc,#000000,,
tran,Road,,,,,,#808080ff,#000000,,
tran,Section,,,,,,#919191fc,#000000,,
tran,Square,,,,,,#9d24f3fc,#000000,,
tran,Track,,,,,,#a0a0a0fc,#000000,,
tran,TrafficArea,,,,,,#a0a0a0ff,#000000,,
tran,TrafficSpace,,,,,,#0064ff80,#000000,,
tran,Waterway,,,,,,#99f2f3fc,#000000,,
tun,HollowSpace,,,,,,#808080fc,#000000,,
tun,Tunnel,,,,,,#00e5ee80,#000000,,
tun,TunnelConstructiveElement,,,,,,#d53ff3fc,#000000,,
tun,TunnelFurniture,,,,,,#ff4040fc,#000000,,
tun,TunnelInstallation,,,,,,#deb88afc,#000000,,
tun,TunnelPart,,,,,,#00e5ee80,#000000,,
veg,PlantCover,,,,,,#ca8602fc,#000000,,
veg,SolitaryVegetationObject,,,,,,#0f5611fc,#000000,,
wtr,WaterBody,,,,,,#0096ff80,#000000,,
wtr,WaterGroundSurface,,,,,,#0096ff80,#000000,,
wtr,WaterSurface,,,,,,#0096ff80,#000000,,
